city,state,event,summary,date-of-event,event-picture-caption,event-picture-link,lat,lon
Tallahassee,Florida,State of Emergency,Florida Governor Ron DeSantis declared a state of emergency for 41 of Florida’s 67 counties as the state braces for a potential Thursday landfall of a Category 2 or Category 3 Hurricane Helene.,2024-09-24,Tropical rainstorm to strengthen into hurricane targets US Gulf Coast,https://www.gannett-cdn.com/authoring/videos/accuweather/thumbnails/75347914007.jpg,30.4513,-84.2727
Pensacola,Florida,Hurricane Watch,Hurricane tropical storm watches issued for Florida ahead of possible Category 3 hurricane. Tropical Cyclone Nine is expected to make landfall as a Category 2 or Category 3 hurricane Thursday evening.,2024-09-24,Tropical Cyclone Nine updates,,30.4213,-87.2167
Tampa,Florida,Hurricane,Hurricane Helene is expected to impact Tampa Bay Florida and other areas around that region of the state. The storm is also projected to impact the Gulf Coast and anywhere in the southeast region of the U.S.,2024-09-26,High winds rain and storm surge from Hurricane Debby inundate a neighborhood on August 05 2024 in Cedar Key Florida.,https://hollywoodlife.com/wp-content/uploads/2024/09/GettyImages-2165384384_04a436-e1727116015471.jpeg?resize=384%2C216,27.9709,-82.4646
St. Pete Beach,Florida,Storm clouds and potential hurricane landfall,Storm clouds are seen on the horizon as the sun sets Sept. 24 2024 in St. Pete Beach Florida a couple days ahead of the expected arrival of possible Hurricane Helene.,2024-09-24,Storm clouds are seen on the horizon as the sun sets Sept. 24 2024 in St. Pete Beach Florida a couple days ahead of the expected arrival of possible Hurricane Helene.,https://assets1.cbsnewsstatic.com/hub/i/r/2024/09/25/beaeb844-57d9-46e7-8804-d38361c9bf98/thumbnail/620x413g9/4eb2221006d8f10137cf71b2020c4969/florida-ts-helene-2174276133.jpg?v=379420b9063a2aadbcd559df18e2d1ae,27.7367,-82.7431
Texas,Texas,Hurricane,Hurricane Helene is set to hit Texas. The National Hurricane Center issued a latest advisory giving prior warning to the residents who reside along the Gulf of Mexico. According to Austin American-Statesman the system will be moving towards the Gulf of Mexico where it will be surely gaining far more strength.,2024-09-24,Hurricane Helene is set to hit Texas,https://img.etimg.com/thumb/msid-113609829width-300height-225imgsize-67936resizemode-75/hurricane-helene-is-set-to-hit-texas-check-path-tracker-predictions.jpg,29.7604,-95.3698
Tampa Bay,Florida,Storm Surge,A storm surge of 5 to 8 feet is expected in western Florida including Tampa Bay with surge values possibly reaching 10 to 15 feet closer to landfall.,2024-09-24,Peak storm surge forecast,https://www.forbes.com/sites/marshallshepherd/2024/09/24/5-things-to-watch-for-with-future-hurricane-helene/,27.9703,-82.4572
Atlanta,Georgia,Strong Tropical Storm Conditions,The storm is expected to move fast enough that it will not have time to weaken significantly with strong tropical storm conditions possible in the Atlanta area.,2024-09-24,European model shows possible interaction of Helene with an existing low to the west of it by Friday,https://www.forbes.com/sites/marshallshepherd/2024/09/24/5-things-to-watch-for-with-future-hurricane-helene/,33.7489,-84.3879
Northern Florida,Florida,Flooding,Flooding is likely in northern Florida with rainfall totals of 8 to 12 inches possible near the center of the storm and 4 to 6 inches possible in eastern Alabama and Georgia.,2024-09-24,Rainfall potential with future Hurricane Helene,https://www.forbes.com/sites/marshallshepherd/2024/09/24/5-things-to-watch-for-with-future-hurricane-helene/,30.4579,-84.2723
Florida's Gulf Coast,Florida,Hurricane,Hurricane Helene is expected to make landfall in Florida as a major storm with the potential for life-threatening storm surge and damaging hurricane-force winds along the coast of the Florida Panhandle and the Florida west gulf coast.,2024-09-24,Hurricane Helene,,30.0000,-85.0000
Big Bend,Florida,Hurricane,Florida's Big Bend region is bracing for its third hurricane in a year as Helene gains strength. The storm is expected to make landfall by Thursday afternoon with Dixie Levy and Citrus counties feeling the strongest winds and storm surge.,2024-09-24,Wind map of Hurricane Helene,https://www.insurancejournal.com/app/uploads/2024/09/helene-wind-map-good-580x477.png,29.7233,-83.1631
Tampa,Florida,Hurricane Landfall,Hurricane Helene is expected to make landfall near Tampa on Thursday morning as a Category 4 storm.,2024-09-26,Hurricane Helene is expected to slam into Florida's Gulf Coast as a Category 4 storm on Thursday.,https://www.nhc.noaa.gov/text/refresh/MIATCPAT4+shtml/260851.shtml,27.9709,-82.4572
Tampa,Florida,Airport Closure,Tampa International Airport will suspend commercial and cargo operations beginning at 2 a.m. on Thursday due to the storm.,2024-09-26,,,27.9709,-82.4572
St. Pete-Clearwater,Florida,Airport Closure,St. Pete-Clearwater International Airport will close after the last flight arrives on Wednesday September 25th with plans to reopen on Friday.,2024-09-25,,,27.9033,-82.6875
