city,state,event,summary,article_url,source,date-of-event,event-picture-caption,event-picture-link,lat,lon
Asheville,North Carolina,Flooding,The mountain town of Asheville was largely cut off due to flooding with supplies being airlifted to residents.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in Asheville North Carolina,https://ichef.bbci.co.uk/news/480/cpsprodpb/2fb4/live/29a520b0-7d2e-11ef-abc6-3bdcb7459e60.jpg.webp,35.5951,-82.5515
Tennessee,Tennessee,Flooding,58 patients and staff were left stranded on the roof of a hospital in the city of Erwin due to flooding and were later rescued by helicopters.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in Tennessee,https://ichef.bbci.co.uk/news/480/cpsprodpb/fc61/live/9aa4c660-7d8f-11ef-b66d-034eed51208d.png.webp,35.8667,-86.6333
Florida,Florida,Flooding,At least 8 people have died in Florida since Friday including at least 5 people in the coastal Pinellas County.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in Florida,https://ichef.bbci.co.uk/news/480/cpsprodpb/8e0e/live/a068e010-7d2e-11ef-8108-311820a0bb34.jpg.webp,27.6648,-81.5158
Georgia,Georgia,Flooding,At least 15 people have died in Georgia including a first responder and 1000 National Guard troops have been deployed to help with rescue efforts.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in Georgia,https://ichef.bbci.co.uk/news/480/cpsprodpb/fc61/live/9aa4c660-7d8f-11ef-b66d-034eed51208d.png.webp,33.7489,-84.3879
South Carolina,South Carolina,Flooding,At least 17 people have been killed in South Carolina.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in South Carolina,https://ichef.bbci.co.uk/news/480/cpsprodpb/fc61/live/9aa4c660-7d8f-11ef-b66d-034eed51208d.png.webp,33.8361,-81.1637
North Carolina,North Carolina,Flooding,At least 7 people have died in North Carolina and more than 100 rescues have taken place.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in North Carolina,https://ichef.bbci.co.uk/news/480/cpsprodpb/2fb4/live/29a520b0-7d2e-11ef-abc6-3bdcb7459e60.jpg.webp,35.7596,-78.6382
Virginia,Virginia,Flooding,At least 1 person has died in Virginia.,https://www.bbc.co.uk/news/articles/czd13mezz7mo,BBC News,2024-09-23,Flooding in Virginia,https://ichef.bbci.co.uk/news/480/cpsprodpb/fc61/live/9aa4c660-7d8f-11ef-b66d-034eed51208d.png.webp,37.7749,-77.4753
Tallahassee,Florida,Hurricane Helene,Hurricane Helene is expected to make landfall in the Big Bend region of Florida posing a 'nightmare surge scenario for Apalachee Bay.' The storm's center is forecast to make landfall late Thursday or early Friday morning with sustained winds of 105 mph and a large wind field that will bring impacts across much of the state.,https://www.bostonherald.com/2024/09/25/hurricane-helene-florida-warnings-landfall/,Boston Herald,2024-09-25,Jerry McCullen top of ladder left and Carson Baze top of ladder right put plywood over the windows of a house ahead of Hurricane Helene in Alligator Point Fla.,https://www.bostonherald.com/wp-content/uploads/2024/09/5wedtropics-e1727261160664.png,30.4518,-84.2727
Alligator Point,Florida,Hurricane Helene,Residents in Alligator Point Florida are preparing for the arrival of Hurricane Helene with some boarding up their homes and others evacuating the area.,https://www.bostonherald.com/2024/09/25/hurricane-helene-florida-warnings-landfall/,Boston Herald,2024-09-25,Paulette McLin takes in the scene outside their summer home ahead of Hurricane Helene in Alligator Point Fla.,https://www.bostonherald.com/wp-content/uploads/2024/09/5wedtropics-e1727261160664.png,29.8953,-84.3844
Fort Lauderdale,Florida,Hurricane Helene,Parts of South Florida including Fort Lauderdale recorded wind gusts as high as 55 mph Wednesday night and one reported gust early Thursday at 64 mph as Helene's strong outer bands began to move through the region.,https://www.bostonherald.com/2024/09/25/hurricane-helene-florida-warnings-landfall/,Boston Herald,2024-09-25,A traffic advisory sign on westbound S.R. 408 near downtown Orlando Fla. informs commuters of the approaching Hurricane Helene.,https://www.bostonherald.com/wp-content/uploads/2024/09/5wedtropics-e1727261160664.png,26.1223,-80.1377
